chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,93.5,96.0,70.78,100.0,95.2
2,95.5,89.0,70.12,96.0,90.4
3,97.5,97.0,76.45,92.0,91.6
4,97.5,90.0,75.15,100.0,95.2
5,97.5,94.0,74.7,84.0,91.6
6,97.0,95.0,81.89,100.0,92.8
7,95.0,91.0,82.58,100.0,92.8
8,98.0,65.0,74.95,36.0,91.6
9,95.0,58.0,55.25,10.0,88.0
10,96.0,83.0,60.02,60.0,91.6
11,97.0,88.0,78.74,68.0,90.4
12,96.5,86.0,78.22,76.0,92.8
13,96.5,86.0,67.82,80.0,91.6
14,98.5,66.0,86.48,18.0,92.8
15,94.0,76.0,71.75,30.0,89.2
16,96.0,89.0,83.72,80.0,91.6
17,97.5,86.0,84.21,92.0,90.4
18,91.43,89.0,62.22,80.65,96.4
