chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,91.5,95.0,76.14,100.0,94.0
2,95.5,92.0,95.68,96.0,90.4
3,96.5,97.0,84.55,88.0,91.6
4,95.5,89.0,70.34,100.0,92.8
5,97.5,87.0,72.76,76.0,88.0
6,97.0,90.0,76.57,92.0,91.6
7,99.5,87.0,74.2,96.0,92.8
8,99.0,66.0,66.0,14.0,92.8
9,96.0,60.0,88.33,8.0,88.0
10,97.0,89.0,74.82,92.0,90.4
11,99.0,88.0,74.88,88.0,90.4
12,96.5,86.0,74.05,76.0,95.2
13,98.5,81.0,74.6,92.0,92.8
14,100.0,67.0,93.25,18.0,94.0
15,95.5,80.0,82.12,14.0,90.4
16,94.0,82.0,81.33,60.0,92.8
17,96.0,88.0,89.92,92.0,90.4
18,88.57,94.0,70.48,64.18,97.6
