chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,97.0,84.0,73.35,72.0,90.4
2,96.5,78.0,88.8,60.0,91.6
3,98.5,85.0,78.23,92.0,91.6
4,95.0,79.0,79.33,48.0,90.4
5,96.5,80.0,73.87,48.0,94.0
6,97.0,91.0,73.33,100.0,91.6
7,98.0,73.0,77.23,56.0,94.0
8,98.0,76.0,81.41,8.0,92.8
9,97.5,75.0,89.11,36.0,90.4
10,94.5,67.0,69.48,0.0,91.6
11,96.5,74.0,73.7,28.0,92.8
12,95.0,90.0,69.11,56.0,92.8
13,99.5,95.0,99.16,96.0,92.8
14,99.0,79.0,80.18,58.0,92.8
15,94.5,86.0,85.9,44.0,90.4
16,93.0,69.0,79.6,32.0,92.8
17,98.5,90.0,76.2,64.0,90.4
18,92.86,92.0,64.49,18.75,94.0
