chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,95.5,98.0,100.0,100.0,92.8
2,94.5,86.0,75.09,88.0,92.8
3,97.5,90.0,83.05,92.0,92.8
4,99.5,86.0,75.73,88.0,89.2
5,98.5,84.0,79.54,64.0,94.0
6,99.5,91.0,86.4,96.0,92.8
7,98.0,87.0,78.71,100.0,91.6
8,98.5,71.0,70.72,28.0,91.6
9,98.0,67.0,81.07,6.0,92.8
10,97.0,89.0,70.74,76.0,92.8
11,98.5,92.0,82.07,84.0,92.8
12,98.0,88.0,73.4,60.0,92.8
13,100.0,89.0,77.47,88.0,91.6
14,99.5,75.0,77.72,36.0,92.8
15,96.0,80.0,78.38,22.0,89.2
16,98.5,86.0,72.16,76.0,92.8
17,98.5,90.0,72.37,96.0,91.6
18,92.86,93.0,71.79,62.5,94.0
