chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,87.0,91.0,77.17,88.0,94.0
2,81.0,83.0,81.95,88.0,91.6
3,82.5,88.0,88.29,84.0,92.8
4,81.5,85.0,69.95,84.0,90.4
5,78.0,81.0,65.72,84.0,92.8
6,84.5,79.0,75.83,76.0,91.6
7,99.5,77.0,91.97,88.0,96.4
8,95.0,74.0,81.62,30.0,92.8
9,87.5,63.0,75.1,0.0,90.4
10,93.5,82.0,77.68,92.0,90.4
11,93.5,85.0,79.61,88.0,91.6
12,94.5,90.0,72.01,76.0,91.6
13,84.5,94.0,79.76,76.0,91.6
14,87.5,75.0,81.95,10.0,92.8
15,80.0,85.0,82.84,38.0,90.4
16,94.0,81.0,67.24,76.0,92.8
17,90.5,88.0,77.43,96.0,91.6
18,89.17,93.0,72.71,100.0,96.4
