chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,95.5,95.0,91.03,100.0,94.0
2,95.5,92.0,81.23,100.0,91.6
3,99.5,90.0,90.57,76.0,92.8
4,97.0,85.0,72.36,100.0,92.8
5,99.0,85.0,79.8,76.0,94.0
6,98.5,92.0,81.76,96.0,94.0
7,98.5,89.0,78.71,100.0,95.2
8,98.5,73.0,80.9,26.0,94.0
9,91.5,63.0,87.11,10.0,95.2
10,97.0,84.0,66.78,76.0,92.8
11,98.5,90.0,86.71,88.0,91.6
12,95.0,87.0,74.78,92.0,91.6
13,97.5,90.0,88.19,80.0,92.8
14,93.5,83.0,97.84,32.0,94.0
15,95.5,80.0,85.7,22.0,90.4
16,97.5,79.0,74.11,64.0,95.2
17,98.5,87.0,76.69,100.0,91.6
18,92.5,93.0,64.33,100.0,96.4
