chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,94.0,91.0,88.48,88.0,94.0
2,93.5,84.0,91.0,92.0,91.6
3,98.5,85.0,80.79,92.0,91.6
4,92.5,77.0,95.36,68.0,92.8
5,95.5,89.0,78.72,84.0,91.6
6,95.0,85.0,77.46,92.0,92.8
7,98.0,67.0,76.08,56.0,94.0
8,95.5,57.0,82.03,20.0,92.8
9,94.5,48.0,74.25,4.0,91.6
10,94.5,84.0,65.97,92.0,92.8
11,95.5,82.0,78.32,80.0,91.6
12,95.5,88.0,71.79,100.0,92.8
13,99.0,89.0,77.47,88.0,92.8
14,96.0,53.0,89.02,12.0,92.8
15,94.0,71.0,80.26,28.0,90.4
16,94.5,85.0,91.91,100.0,92.8
17,98.0,83.0,75.22,100.0,91.6
18,90.71,87.0,71.06,100.0,95.2
