chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,91.5,91.0,71.51,96.0,94.0
2,88.0,81.0,85.59,84.0,91.6
3,84.5,86.0,85.17,88.0,90.4
4,88.5,83.0,70.7,84.0,92.8
5,90.0,81.0,75.07,60.0,92.8
6,87.5,78.0,59.29,72.0,91.6
7,91.0,80.0,79.94,96.0,91.6
8,80.0,80.0,86.93,18.0,91.6
9,87.5,75.0,82.02,8.0,90.4
10,92.0,75.0,80.66,56.0,91.6
11,93.5,86.0,66.36,80.0,91.6
12,79.5,90.0,73.14,80.0,91.6
13,96.5,91.0,81.18,84.0,91.6
14,90.5,79.0,80.66,10.0,91.6
15,89.5,82.0,75.93,32.0,90.4
16,96.0,81.0,86.05,68.0,92.8
17,94.5,96.0,71.21,80.0,91.6
18,86.43,96.0,61.52,81.82,95.2
