chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,97.0,100.0,76.29,100.0,94.0
2,97.0,95.0,77.66,100.0,91.6
3,99.0,93.0,75.43,96.0,94.0
4,98.5,90.0,77.67,100.0,91.6
5,100.0,92.0,64.75,80.0,94.0
6,96.5,92.0,74.99,100.0,91.6
7,99.0,88.0,80.52,100.0,94.0
8,99.0,68.0,94.0,30.0,91.6
9,94.5,68.0,79.94,20.0,90.4
10,98.5,89.0,72.79,80.0,91.6
11,99.5,89.0,83.04,84.0,91.6
12,95.5,91.0,72.44,76.0,92.8
13,93.5,86.0,80.63,100.0,92.8
14,97.0,76.0,83.84,4.0,94.0
15,96.5,77.0,78.38,44.0,90.4
16,99.0,85.0,58.83,76.0,92.8
17,99.0,89.0,85.37,88.0,91.6
18,87.14,93.0,74.95,88.57,92.8
