chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,95.0,98.0,82.6,100.0,95.2
2,95.0,91.0,76.54,100.0,91.6
3,98.5,92.0,83.12,96.0,94.0
4,98.0,89.0,79.81,100.0,92.8
5,100.0,89.0,79.34,84.0,94.0
6,98.5,90.0,69.86,100.0,90.4
7,97.0,84.0,77.15,100.0,92.8
8,93.5,72.0,69.97,30.0,91.6
9,96.0,62.0,86.63,4.0,91.6
10,97.0,85.0,70.59,84.0,91.6
11,99.0,87.0,86.07,96.0,92.8
12,95.5,96.0,89.22,100.0,91.6
13,98.0,94.0,73.74,92.0,91.6
14,94.5,77.0,76.63,14.0,94.0
15,93.0,82.0,70.98,30.0,91.6
16,99.0,80.0,82.52,68.0,94.0
17,100.0,97.0,82.2,84.0,91.6
18,95.0,97.0,55.66,70.59,95.2
