chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,95.5,96.0,94.04,100.0,94.0
2,97.5,94.0,92.07,100.0,91.6
3,98.5,96.0,89.06,92.0,91.6
4,97.5,93.0,72.59,100.0,91.6
5,97.5,87.0,90.33,72.0,92.8
6,98.5,94.0,76.87,100.0,91.6
7,97.5,92.0,91.27,100.0,94.0
8,97.0,72.0,72.64,34.0,92.8
9,99.0,76.0,87.11,10.0,89.2
10,97.5,90.0,70.96,80.0,90.4
11,99.5,93.0,82.85,88.0,91.6
12,97.0,90.0,78.48,48.0,94.0
13,100.0,90.0,88.96,76.0,92.8
14,98.0,76.0,83.84,18.0,92.8
15,95.0,80.0,79.1,24.0,90.4
16,98.5,89.0,73.08,80.0,92.8
17,95.0,91.0,78.47,80.0,91.6
18,91.43,94.0,72.9,36.51,96.4
