chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,95.5,98.0,71.75,100.0,94.0
2,97.5,90.0,98.5,96.0,91.6
3,97.5,92.0,84.92,84.0,92.8
4,100.0,85.0,86.15,76.0,91.6
5,100.0,89.0,76.75,72.0,92.8
6,99.5,88.0,74.43,92.0,91.6
7,98.0,84.0,97.42,100.0,92.8
8,96.5,68.0,76.22,36.0,92.8
9,92.0,67.0,64.53,12.0,89.2
10,98.5,75.0,77.04,48.0,89.2
11,98.0,87.0,87.69,84.0,90.4
12,96.5,88.0,78.5,76.0,92.8
13,98.0,93.0,84.8,80.0,91.6
14,100.0,74.0,94.64,20.0,92.8
15,99.0,84.0,74.63,44.0,90.4
16,98.0,79.0,83.5,44.0,92.8
17,98.0,91.0,79.87,72.0,91.6
18,93.12,90.0,57.32,58.44,97.6
